,name,link,website,min_salary,max_salary,currency
24,div,https://hh.ru/vacancy/51952294?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru,130000,160000,руб.
25,div,https://hh.ru/vacancy/52055434?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru,50000,70000,руб.
26,div,https://hh.ru/vacancy/50877298?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru,150000,200000,руб.
27,div,https://hh.ru/vacancy/52130863?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru,40000,80000,руб.
28,div,https://hh.ru/vacancy/51969756?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru,34000,63000,руб.
29,div,https://hh.ru/vacancy/52048592?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru,350000,500000,KZT
30,div,https://hh.ru/vacancy/51962063?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru,120000,140000,руб.
31,div,https://hh.ru/vacancy/51973448?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru,20000,30000,руб.
32,div,https://hh.ru/vacancy/52093673?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru,70000,None,руб.
33,div,https://hh.ru/vacancy/52042317?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru,120000,None,руб.
34,div,https://hh.ru/vacancy/50505184?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru,None,220000,руб.
